name,registry_id,hq,extra
GoTyme Bank Corporation,465,"21st Floor, Units 3 and 4, work.able Giga Tower, Bridgetowne, 80 Eulogio Rodriguez Jr. Avenue, Brgy. Ugong Norte, Quezon City, Phillipines, 1110",
"Maribank Philippines, Inc.",211,"32 Rizal St., Poblacion 2, Pagsanjan, 4008 Laguna",
"Maya Bank, Inc.",462,"6th Floor Launchpad Building, Reliance Corner Sheridan Streets, Mandaluyong City",
"Overseas Filipino Bank, Inc., A Digital Bank of LANDBANK",460,"Palacio del Gobernador Building, corner of Andres Soriano and General Luna Streets, Intramuros, Manila, Philippines",
"Tonik Digital Bank, Inc.",461,"Unit 605B, 6/F West Wing, The Estancia Offices, Meralco Ave., 1605 Pasig City, Metro Manila",
"UnionDigital Bank, Inc.",464,"41st Flr. UnionBank Plaza, Meralco Ave. cor. Onyx and Sapphire Roads, Bgy. San Antonio Ortigas Center, 1605 Pasig City",
"UNObank, Inc.",463,"Unit 2001, The Finance Centre, 26th Street corner 9th Avenue, Bonifacio Global City, Taguig City, Metro Manila 1634",
