name,registry_id,hq,extra
"BOT LEASE & FINANCE PHILS., INC.",174,Philippines,
BPI CENTURY TOKYO LEASE & FINANCE CORPORATION,,Philippines,
BPI LEASING CORP.,123,Philippines,
BRAINY RHINO FINANCING INC.,1300,Philippines,
Bridge Access Financing Inc.,1269,Philippines,
BRIDGE AUXILLIARY FINANCE CORPORATION,690,Philippines,
BRIDGE FINANCE INVESTOR'S INC.,793,Philippines,
"BRYE FINANCING, INC.",427,Philippines,
BUDGET FINANCE CORPORATION,1180,Philippines,
BUENAVISTA FINANCING CORP.,274,Philippines,
BUGLAS DEVELOPMENT FINANCE AND INVESTMENT CORPORATION,566,Philippines,
BUILDERS FINANCING CORPORATION,1271,Philippines,
BUKAS FINANCE CORP.,1199,Philippines,
BUKIDNON INV. & FINANCE CORP. (BUKIDNON INVESTMENT AND FINANCE CORPORATION),1,Philippines,
"BUSKOWITZ FINANCE, INC.",1103,Philippines,
BYTE DREAM FINANCING INC.,1281,Philippines,
C CREDIT FINANCING INC.,F-22-0020-94,Philippines,
C CREDIT FINANCING INC.,F-22-0020-94,Philippines,
CAGAYAN VALLEY A+ CREDIT CORP.,255,Philippines,
CAPEX FINANCE AND INVESTMENT CORPORATION,783,Philippines,
CAPITAL HAUZ FINANCING CORP.,414,Philippines,
CARCANMADCARLAN FINANCING CORPORATION,755,Philippines,
CARD LEASING AND FINANCE CORP.,1053,Philippines,
CARNELIAN CONSUMER FINANCE CORPORATION,970,Philippines,
"CASH 2 GO FINANCE, INC.",1069,Philippines,
Cash 24 Financing Inc. doing business under the name and style of CASH24,F-22-0041-86,Philippines,
CASH 4U FINANCING CORPORATION,989,Philippines,
"CASH MANAGEMENT FINANCE, INC.",661,Philippines,
Cash-Express Philippines Financing Inc. under the business style and name of Cash- Express (formerly: CashXpress South East Asia Lending Inc. Doing business under CashXpressPH Lending),1309,Philippines,
"CASHAMA FINANCING CORP. DOING BUSINESS UNDER THE NAME/S AND STYLE/S OF CASHAMA, CASHMA, CASHSAYA, CLICKCASH AND BIDACASH",F-23-0046-53,Philippines,
CashForJuan Finance INc.,1260,Philippines,
CASHFUNDS FINANCE INC.,1285,Philippines,
"CASHLINK FINANCIALS, INC.",304,Philippines,
CashPapa Finance Inc.,1250,Philippines,
CASHTANK FINANCING CORP.,1139,Philippines,
"CASHX FINANCING, INC.",1175,Philippines,
CASTLINK FINANCE CORPORATION,1018,Philippines,
"CATERPILLAR FINANCIAL SVCS., PHILS., INC.",199,Philippines,
CC MOBILE FINANCIAL SERVICES PHILIPPINES INC. (Formerly: CC MOBILE FINTECH SERVICES PHILIPPINES INC._,1111,Philippines,
CCC FINANCE CORP.,214,Philippines,
CEBU APC FINANCE CORP.,436,Philippines,
CEBU BLUE MOUNTAIN FINANCING CORP.,966,Philippines,
"CEBU GOLDEN GATE FINANCE, INC.",665,Philippines,
CEBU INT'L. FINANCE CORP.,89,Philippines,
"CEBU SHEE NA FINANCE COMPANY, INC.",933,Philippines,
Cebuana Cycle Financing Inc.,F-23-0056-27,Philippines,
CEBUANA LHUILLIER FINANCE CORPORATION,1094,Philippines,
"CEIMMARJ FINANCE, INC.",330,Philippines,
CEL FINANCIAL SERVICES CORP.,405,Philippines,
CELER FINANCE CORPORATION Doing business under the name and style of Celer Financing,1301,Philippines,
CENTENNIAL FINANCING CORP.,197,Philippines,
"CEPAT KREDIT FINANCING, INC.",1223,Philippines,
CFMENDOZA FINANCE CORPORATION,486,Philippines,
CFS Credit and Finance Corporation,1268,Philippines,
CHAILEASE BERJAYA FINANCE CORPORATION,1152,Philippines,
CHAILEASE FINANCE CORP.,141,Philippines,
"CHARTERED LOAN FINANCING OF BOHOL, INC.",584,Philippines,
CHARTON FINANCING CORPORATION,967,Philippines,
CHEP FINANCE CORPORATION,562,Philippines,
CHIFFRE PORTE-BONHEUR FINANCING INC.,1107,Philippines,
"CIRRUS FINANCIAL INSTITUTION, INC. (Formerly: Cirrus Holdings, Inc.)",1074,Philippines,
CITICASH FINANCE CORPORATION,973,Philippines,
CJ FINANCING COMPANY INC.,F-21-0018-69,Philippines,
"CLASSIC FINANCE, INC.",43,Philippines,
"CLI FINANCE, INC.",292,Philippines,
CLI-GROUP FINANCIAL CORP.,421,Philippines,
COMMERCIAL CREDIT CORPORATION OF NEGROS,116,Philippines,
"COMMERCIAL TRADE FINANCIAL SERVICES, INC.",660,Philippines,
"COMTRUST FINANCE AND INV., CORP. (doing business under the name and style of laus auto finance)",57,Philippines,
CONCHITA FINANCIAL SERVICES CORP.,431,Philippines,
CONCORD LEASING AND FINANCING CORP.,999,Philippines,
CONGLOMERATE SAVINGS AND FINANCING CORP.,37,Philippines,
CONSOLIDATED CAPITAL AND FINANCIAL SERVICES CORPORATION,532,Philippines,
CORZA FINANCE CORP.,140,Philippines,
COUNTRY FUNDERS FINANCE CORPORATION formerly: Country Funders and Lending Investors Corporation,CATCEO-01,Philippines,
CPRIME BUSINESS FINANCING CORPORATION,1283,Philippines,
CREDENCE FINANCING INCORPORATED (CFI),655,Philippines,
CREDIT ASSURANCE SERVICE (CAS) FINANCE CORP.,938,Philippines,
"CREDIT PILIPINAS, INC.",824,Philippines,
CREDIT SOLUTIONS RESOURCES FINANCE & INVESTMENT CORPORATION,601,Philippines,
"CREDIT24 FINANCE COMPANY, INC.",981,Philippines,
"CREDITACCESS PHILIPPINES FINANCING COMPANY, INC. (FORMERLY: MICROVENTURES PHILIPPINES FINANCING COMPANY, INC.) doing business under the name and style of ONEPUHUNAN",1077,Philippines,
CREDITLINE FINANCE INC.,153,Philippines,
CRISTAL VI FINANCE CORPORATION,613,Philippines,
CROSS-BORDER FINANCE CORPORATION,751,Philippines,
"CROSSCAP FINANCING, INC. (formerly: CROSSCAP LENDING INC.)",1061,Philippines,
CRZ Finance Corp.,F-23-0050-88,Philippines,
"CSB FINANCE, INC.",220,Philippines,
CUESTA CREDIT AND LOANS CORP.,383,Philippines,
CV FINANCIAL CORP. (formerly: CENTRAL VISAYAS FINANCE CORP),135,Philippines,
CVM FINANCE AND CREDIT CORPORATION,565,Philippines,
CYCLE FINANCING CORP.,F-21-0009-89,Philippines,
CYM FINANCING INCORPORATED,769,Philippines,
D.S. FINANCE CORPORATION,1144,Philippines,
D' FIRST JAM FINANCING INCORPORATED,880,Philippines,
DA CHAN FINANCIAL SERVICES INC.,819,Philippines,
DAJJ'S FINANCING CORPORATION,849,Philippines,
DALLAS FINANCE CORPORATION,F-21-0002-94,Philippines,
