name,registry_id,hq,extra
ABARQUEZ LENDING INVESTORS CORPORATION,2963,Philippines,
ABC ADVANCE BENEFITS CREDIT LENDING INVESTOR INC.,630,Philippines,
ABC QUERIDO SISTERS LENDING CORPORATION,2166,Philippines,
ABECEDE RELIANCE LENDING CORPORATION,1039,Philippines,
ABELLA LENDING INVESTORS CORPORATION,1612,Philippines,
ABHI AND JANVI LENDING INC.,2555,Philippines,
ABHOL BROTHER'S LENDING CORP.,2418,Philippines,
ABI TAJ LENDING CORP.,2017,Philippines,
ABICHUELA BLESSFUL LENDING CORP.,1759,Philippines,
ABICORE LENDING INC.,1135,Philippines,
ABL LENDING INVESTORS Corporation,3255,Philippines,
ABOT LENDING CORPORTION,L-21-0101-25,Philippines,
ABOT-KAMAY KAAGAPAY LENDING CORP.,3071,Philippines,
ABUBOT LENDING CORPORATION,447,Philippines,
Abundant Credit Services and Lending Corporation,3207,Philippines,
AC FAMILY LENDING CORPORATION,169,Philippines,
Access and Liberty (A and L) Lending Inc.,3142,Philippines,
Access Cash Lending INC,3192,Philippines,
ACCESS TO MONETARY LENDING SERVICES CORP.,2801,Philippines,
ACCESSIBLE INTEGRATED BORROWERS (AIB) LENDING CORP.,2467,Philippines,
ACCESSIBLE MICROLENDING AND CREDIT CORPORATION,1543,Philippines,
"ACCESSUS LENDING COMPANY, INC.",1994,Philippines,
ACCORD LOANS INCORPORATED,L-22-0130-85,Philippines,
ACCORDION LENDING INVESTOR CORP.,1793,Philippines,
ACCUTRUST LENDING CORP.,2434,Philippines,
ACE Financial Lending Corporation,3147,Philippines,
"ACEBANK CREDIT, INC.",1194,Philippines,
ACEDRIVE CREDIT CORPORATION,1786,Philippines,
ACER_LENDING INVESTORS INC.,210,Philippines,
ACES CREDIT EXPERTS AND SOLUTIONS INC.,2667,Philippines,
ACES LINKS LENDING CORP.,3408,Philippines,
ACEWORKS CREDIT CORPORATION,1689,Philippines,
ACEZY LENDING CORPORATION,3019,Philippines,
ACGALVEZ AND PTGONZALES LENDING CORP,2532,Philippines,
ACIS and HAVEN LENDING CORPORATION,3024,Philippines,
ACOINS LENDING CORP.,2034,Philippines,
ACQUIRE LENDING AND TRADING CORP.,2144,Philippines,
ACREDITAR LENDING CORP.,1436,Philippines,
ACT AND HARVEST LENDING CORPORATION,2895,Philippines,
"ACTIVE TOWERS CREDIT CO., INC.",155,Philippines,
ACYQ MICROLENDING INC.,2225,Philippines,
ADDCAF LENDING CORPORATION,489,Philippines,
Additional Line Lending Corporation,2819,Philippines,
ADDMORE POWER LENDING CORP.,1166,Philippines,
ADELPOS WESTERN WALL LENDING CORP.,1764,Philippines,
ADVANCE CREDIT CORPORATION,540,Philippines,
ADVANCE PAYDAY LENDING CORPORATION,3368,Philippines,
ADVANCE TECH LENDING INC.,2765,Philippines,
ADVANCED MERCHANT PAYMENTS (AMP) LENDING CORPORATION,1160,Philippines,
ADVANTAGE FORTUNE LENDING INC.,2727,Philippines,
Advantage Lending Corp.,2936,Philippines,
ADX LENDING INVESTOR CORPORATION,1287,Philippines,
AEABEST LENDING CORPORATION,2676,Philippines,
Aegis Solutions Lending Corporation,L-23-0368-93,Philippines,
AELLACREDIT LENDING CORP.,2831,Philippines,
AEROASIA CREDIT CORPORATION,2544,Philippines,
AESIC MICROLENDING CORP.,2158,Philippines,
AESIR LENDING COMPANY INC.,1256,Philippines,
"AFCA TRI-R LENDING, INC.",2006,Philippines,
AFFIRMATIVE LENDING CORPORATION,L-23-0429-96,Philippines,
AFFORDABLE LENDING CORP.,1803,Philippines,
AFIANZAR LENDING CORPORATION DOING BUSINESS UNDER THE NAME & STYLE OF MIGO LENDERS,1405,Philippines,
AFK LENDING PHILIPPINES INC.,2671,Philippines,
AFORTUNATO LENDING CORPORATION,1251,Philippines,
AFREE N' JEMS LENDING CORP.,1583,Philippines,
AfterPay PH Lending Corporation,L-23-0530-15,Philippines,
AFTERWEST MICROLOANS INC.,1718,Philippines,
AGIE'S LENDING CORPORATION,1060,Philippines,
AGILE LENDING CORPORATION,L-23-0376-82,Philippines,
AGK CLOVER LENDING COMPANY INC.,3422,Philippines,
AGM TRUSTWORTHY LENDING SERVICES INC.,1399,Philippines,
AGRICOM CREDIT CORPORATION (FORMERLY: AGRICOM RURAL BANK INCORPORATED),2804,Philippines,
AGS SANDHU LENDING COMPANY INC.,,Philippines,
AGUA LENDING INVESTOR CORP.,551,Philippines,
AGUIRRE LOAN AND LENDING SERVICES INC.,1640,Philippines,
AGUSTINEZ LENDING INVESTORS CORP.,L-23-0413-18,Philippines,
AHJ OPULENT LENDING CORP.,1645,Philippines,
AHP Lending Services Corporation,L-22-0308-78,Philippines,
AILETONE LENDING INVESTOR CORP.,2058,Philippines,
Air Fish Lending Corporation,3082,Philippines,
AISETAN LENDING CORPORATION,,Philippines,
AJA MICROLENDING CORP.,2202,Philippines,
AJB LENDING CORP.,L-22-0288-88,Philippines,
AKAL TAKHT LENDING CORPORATION,2254,Philippines,
AKAP LENDING INVESTOR CORPORATION,1308,Philippines,
