name,registry_id,hq,extra
WHALE TAIL LENDING SERVICES INC.,,Philippines,List of Revoked Certificates of Authority to Operate as a Lending Company (Secondary License)
Z.C. BUEN MANO LENDING CORPORATION,,Philippines,List of Revoked Certificates of Authority to Operate as a Lending Company (Secondary License)
Z.C. Buen Mano Lending Corporation,,Philippines,List of Revoked Certificates of Authority to Operate as a Lending Company (Secondary License)
A.M. Creditworld Finance Corp.,,Philippines,List of Revoked Certificates of Authority to Operate as a Financing Company (Secondary License)
Aboitiz & Company Inc.,,Philippines,List of Revoked Certificates of Authority to Operate as a Financing Company (Secondary License)
"Acropolis North Water Camp and Country Club, Inc.",,Philippines,List of Revoked Certificates of Authority to Operate as a Financing Company (Secondary License)
Alaska Milk Corporation,,Philippines,List of Revoked Certificates of Authority to Operate as a Financing Company (Secondary License)
Anviro Finance Corporation,,Philippines,List of Revoked Certificates of Authority to Operate as a Financing Company (Secondary License)
"Aparri Countryside Finance, Corp.",,Philippines,List of Revoked Certificates of Authority to Operate as a Financing Company (Secondary License)
Belledone Financing Corporation,,Philippines,List of Revoked Certificates of Authority to Operate as a Financing Company (Secondary License)
Camarines Minerals Inc.,,Philippines,List of Revoked Certificates of Authority to Operate as a Financing Company (Secondary License)
Capitol Hills Golf and Country Club Inc.,,Philippines,List of Revoked Certificates of Authority to Operate as a Financing Company (Secondary License)
"Chemrez Technologies, Inc.",,Philippines,List of Revoked Certificates of Authority to Operate as a Financing Company (Secondary License)
"Club Balai Isabel, Inc.",,Philippines,List of Revoked Certificates of Authority to Operate as a Financing Company (Secondary License)
"Consolidated Mines, Inc.",,Philippines,List of Revoked Certificates of Authority to Operate as a Financing Company (Secondary License)
Cosmos Bottling Corporation,,Philippines,List of Revoked Certificates of Authority to Operate as a Financing Company (Secondary License)
"Diamond Asia Properties and Builders, Corp.",,Philippines,List of Revoked Certificates of Authority to Operate as a Financing Company (Secondary License)
Digido Finance Corp,,Philippines,List of Revoked Certificates of Authority to Operate as a Financing Company (Secondary License)
Doncil Finance Corporation,,Philippines,List of Revoked Certificates of Authority to Operate as a Financing Company (Secondary License)
Equal Prime Link and Finance Corporation,,Philippines,List of Revoked Certificates of Authority to Operate as a Financing Company (Secondary License)
"Equicom Savings Bank, Inc.",,Philippines,List of Revoked Certificates of Authority to Operate as a Financing Company (Secondary License)
"Evercrest Golf Club Resort, Inc.",,Philippines,List of Revoked Certificates of Authority to Operate as a Financing Company (Secondary License)
"Fantasy World Theme Parks Amusement and Recreation Club, Inc.",,Philippines,List of Revoked Certificates of Authority to Operate as a Financing Company (Secondary License)
Fog Horn Inc.,,Philippines,List of Revoked Certificates of Authority to Operate as a Financing Company (Secondary License)
